,Model-FileName,TestedPair,ModelAccuracy,TrueWin,XLoss,MissedDeal,GoodZero,WINDOW,MAX_FORCAST_SIZE,TAKE_PROFIT,WinRatio,BuyMean
0,/UltimeTradingBot/Data/AFTER_DEPTH_CLOSE/tp42_w7_max16min_Model_VeryDeep.h5,GMT/USDT,66.992,7.048,17.655,15.352,59.944,7,16,0.4,28.531,22.401
1,/UltimeTradingBot/Data/AFTER_DEPTH_CLOSE/tp42_w7_max16min_Model_JUSTGood_v2.h5,GMT/USDT,75.994,1.954,3.559,20.447,74.04,7,16,0.4,35.443,22.401
2,/UltimeTradingBot/Data/AFTER_DEPTH_CLOSE/tp130_w7_max16min_Model_true_win_model_Re7.h5,GMT/USDT,77.809,0.209,0.0,22.191,77.599,7,16,0.4,100.0,22.401
3,/UltimeTradingBot/Data/AFTER_DEPTH_CLOSE/tp130_w7_max16min_Model_true_win_model_Re8.h5,GMT/USDT,77.599,0.0,0.0,22.401,77.599,7,16,0.4,,22.401
4,/UltimeTradingBot/Data/AFTER_DEPTH_CLOSE/tp42_w7_max16min_Model_v5.h5,GMT/USDT,75.855,3.629,5.373,18.772,72.226,7,16,0.4,40.313,22.401
5,/UltimeTradingBot/Data/AFTER_DEPTH_CLOSE/tp130_w7_max16min_Model_VeryDeep.h5,GMT/USDT,70.691,3.419,10.328,18.981,67.271,7,16,0.4,24.871,22.401
6,/UltimeTradingBot/Data/AFTER_DEPTH_CLOSE/tp42_w7_max16min_Model_true_win_model_Re2.h5,GMT/USDT,69.365,5.024,13.259,17.376,64.341,7,16,0.4,27.479,22.401
7,/UltimeTradingBot/Data/AFTER_DEPTH_CLOSE/tp130_w7_max16min_Model_vInit.h5,GMT/USDT,74.04,2.861,6.42,19.539,71.179,7,16,0.4,30.826,22.401
8,/UltimeTradingBot/Data/AFTER_DEPTH_CLOSE/tp42_w7_max16min_Model_true_win_model_Re3.h5,GMT/USDT,69.295,4.606,12.91,17.795,64.689,7,16,0.4,26.296,22.401
9,/UltimeTradingBot/Data/AFTER_DEPTH_CLOSE/tp130_w7_max16min_Model_v5.h5,GMT/USDT,77.599,0.0,0.0,22.401,77.599,7,16,0.4,,22.401
10,/UltimeTradingBot/Data/AFTER_DEPTH_CLOSE/tp42_w7_max16min_Anti-Model_v2.h5,GMT/USDT,76.902,1.047,1.745,21.354,75.855,7,16,0.4,37.5,22.401
