,0,Pair,launch_week_stamp,launch_day_stamp,launch_minute
0,BTCUSDT,BTC/USDT,1502668800000,1502928000000,2017-08-17 04:00:00
1,ETHUSDT,ETH/USDT,1502668800000,1502928000000,2017-08-17 04:00:00
2,BNBUSDT,BNB/USDT,1509926400000,1509926400000,2017-11-06 03:54:00
3,BCCUSDT,BCC/USDT,1509926400000,1510358400000,2017-11-11 08:28:00
4,NEOUSDT,NEO/USDT,1511136000000,1511136000000,2017-11-20 03:42:00
5,LTCUSDT,LTC/USDT,1512950400000,1513123200000,2017-12-13 03:32:00
6,QTUMUSDT,QTUM/USDT,1521417600000,1521417600000,2018-03-19 08:48:00
7,ADAUSDT,ADA/USDT,1523836800000,1523923200000,2018-04-17 04:02:00
8,XRPUSDT,XRP/USDT,1525046400000,1525392000000,2018-05-04 08:11:00
9,EOSUSDT,EOS/USDT,1527465600000,1527465600000,2018-05-28 05:00:00
10,TUSDUSDT,TUSD/USDT,1527465600000,1527724800000,2018-05-31 09:32:00
11,IOTAUSDT,IOTA/USDT,1527465600000,1527724800000,2018-05-31 09:30:00
12,XLMUSDT,XLM/USDT,1527465600000,1527724800000,2018-05-31 09:30:00
13,ONTUSDT,ONT/USDT,1528070400000,1528416000000,2018-06-08 07:00:00
14,TRXUSDT,TRX/USDT,1528675200000,1528675200000,2018-06-11 11:30:00
15,ETCUSDT,ETC/USDT,1528675200000,1528761600000,2018-06-12 02:30:00
16,ICXUSDT,ICX/USDT,1528675200000,1528848000000,2018-06-13 08:01:00
17,VENUSDT,VEN/USDT,1529280000000,1529625600000,2018-06-22 08:00:00
18,NULSUSDT,NULS/USDT,1532304000000,1532304000000,2018-07-23 04:02:00
19,VETUSDT,VET/USDT,1532304000000,1532476800000,2018-07-25 04:00:00
20,PAXUSDT,PAX/USDT,1538352000000,1538611200000,2018-10-04 10:00:00
21,BCHABCUSDT,BCHABC/USDT,1541980800000,1542326400000,2018-11-16 08:00:00
22,BCHSVUSDT,BCHSV/USDT,1541980800000,1542326400000,2018-11-16 08:00:00
23,USDCUSDT,USDC/USDT,1544400000000,1544832000000,2018-12-15 03:12:00
24,LINKUSDT,LINK/USDT,1547424000000,1547596800000,2019-01-16 10:00:00
25,WAVESUSDT,WAVES/USDT,1547424000000,1547769600000,2019-01-18 10:00:00
26,BTTUSDT,BTT/USDT,1548633600000,1548892800000,2019-01-31 10:00:00
27,USDSUSDT,USDS/USDT,1549843200000,1550102400000,2019-02-14 10:00:00
28,ONGUSDT,ONG/USDT,1549843200000,1550275200000,2019-02-16 10:04:00
29,HOTUSDT,HOT/USDT,1550448000000,1550448000000,2019-02-18 10:00:00
30,ZILUSDT,ZIL/USDT,1550448000000,1550534400000,2019-02-19 11:04:00
31,ZRXUSDT,ZRX/USDT,1551052800000,1551312000000,2019-02-28 04:00:00
32,FETUSDT,FET/USDT,1551052800000,1551312000000,2019-02-28 10:00:00
33,BATUSDT,BAT/USDT,1551657600000,1551657600000,2019-03-04 10:00:00
34,XMRUSDT,XMR/USDT,1552262400000,1552608000000,2019-03-15 04:00:00
35,ZECUSDT,ZEC/USDT,1552867200000,1553126400000,2019-03-21 04:00:00
36,IOSTUSDT,IOST/USDT,1552867200000,1553212800000,2019-03-22 04:08:00
37,CELRUSDT,CELR/USDT,1553472000000,1553472000000,2019-03-25 04:00:00
38,DASHUSDT,DASH/USDT,1553472000000,1553731200000,2019-03-28 04:00:00
39,NANOUSDT,NANO/USDT,1554076800000,1554249600000,2019-04-03 04:00:00
40,OMGUSDT,OMG/USDT,1554076800000,1554249600000,2019-04-03 04:00:00
41,THETAUSDT,THETA/USDT,1554681600000,1554854400000,2019-04-10 04:00:00
42,ENJUSDT,ENJ/USDT,1555286400000,1555545600000,2019-04-18 04:00:00
43,MITHUSDT,MITH/USDT,1555286400000,1555632000000,2019-04-19 10:00:00
44,MATICUSDT,MATIC/USDT,1555891200000,1556236800000,2019-04-26 15:00:00
45,ATOMUSDT,ATOM/USDT,1556496000000,1556496000000,2019-04-29 04:00:00
46,TFUELUSDT,TFUEL/USDT,1558310400000,1558656000000,2019-05-24 10:00:00
