0,Pair,launch_week_stamp,launch_day_stamp,launch_minute
LTCUSDT,LTC/USDT,1512950400000,1513123200000,2017-12-13 03:32:00
ARUSDT,AR/USDT,1620604800000,1620950400000,2021-05-14 12:00:00
OPUSDT,OP/USDT,1653868800000,1654041600000,2022-06-01 08:00:00
TRIBEUSDT,TRIBE/USDT,1629676800000,1629763200000,2021-08-24 06:00:00
TVKUSDT,TVK/USDT,1627862400000,1628208000000,2021-08-06 10:00:00
NULSUSDT,NULS/USDT,1532304000000,1532304000000,2018-07-23 04:02:00
SCUSDT,SC/USDT,1593993600000,1593993600000,2020-07-06 05:00:00
DASHUSDT,DASH/USDT,1553472000000,1553731200000,2019-03-28 04:00:00
DOTUSDT,DOT/USDT,1597622400000,1597708800000,2020-08-18 23:00:00
JSTUSDT,JST/USDT,1597017600000,1597104000000,2020-08-11 06:00:00
ETCUSDT,ETC/USDT,1528675200000,1528761600000,2018-06-12 02:30:00
FIDAUSDT,FIDA/USDT,1632700800000,1632960000000,2021-09-30 12:00:00
GALAUSDT,GALA/USDT,1631491200000,1631491200000,2021-09-13 06:00:00
ICPUSDT,ICP/USDT,1620604800000,1620691200000,2021-05-11 01:00:00
IDEXUSDT,IDEX/USDT,1630886400000,1631145600000,2021-09-09 08:00:00
KP3RUSDT,KP3R/USDT,1636329600000,1636675200000,2021-11-12 10:00:00
LPTUSDT,LPT/USDT,1621814400000,1622160000000,2021-05-28 05:00:00
MANAUSDT,MANA/USDT,1596412800000,1596672000000,2020-08-06 10:00:00
MBOXUSDT,MBOX/USDT,1629072000000,1629331200000,2021-08-19 08:00:00
LUNAUSDT,LUNA/USDT,1597622400000,1597968000000,2020-08-21 10:00:00
USTUSDT,UST/USDT,1639958400000,1640304000000,2021-12-24 08:00:00
QTUMUSDT,QTUM/USDT,1521417600000,1521417600000,2018-03-19 08:48:00
RADUSDT,RAD/USDT,1633305600000,1633564800000,2021-10-07 07:00:00
RVNUSDT,RVN/USDT,1569196800000,1569369600000,2019-09-25 12:00:00
SHIBUSDT,SHIB/USDT,1620604800000,1620604800000,2021-05-10 11:00:00
SOLUSDT,SOL/USDT,1597017600000,1597104000000,2020-08-11 06:00:00
SYSUSDT,SYS/USDT,1632096000000,1632441600000,2021-09-24 10:00:00
TUSDT,T/USDT,1645401600000,1645747200000,2022-02-25 04:00:00
TORNUSDT,TORN/USDT,1623024000000,1623369600000,2021-06-11 06:00:00
YGGUSDT,YGG/USDT,1632096000000,1632441600000,2021-09-24 06:00:00
ADAUSDT,ADA/USDT,1523836800000,1523923200000,2018-04-17 04:02:00
ALICEUSDT,ALICE/USDT,1615766400000,1615766400000,2021-03-15 06:00:00
ALGOUSDT,ALGO/USDT,1560729600000,1561161600000,2019-06-22 00:00:00
API3USDT,API3/USDT,1642377600000,1642723200000,2022-01-21 10:30:00
MLNUSDT,MLN/USDT,1625443200000,1625443200000,2021-07-05 06:00:00
PSGUSDT,PSG/USDT,1608508800000,1608508800000,2020-12-21 06:00:00
ORNUSDT,ORN/USDT,1601251200000,1601424000000,2020-09-30 06:00:00
ROSEUSDT,ROSE/USDT,1605484800000,1605744000000,2020-11-19 08:00:00
GMTUSDT,GMT/USDT,1646611200000,1646784000000,2022-03-09 12:00:00
DFUSDT,DF/USDT,1632096000000,1632441600000,2021-09-24 10:00:00
ATAUSDT,ATA/USDT,1623024000000,1623024000000,2021-06-07 06:00:00
ICXUSDT,ICX/USDT,1528675200000,1528848000000,2018-06-13 08:01:00
JASMYUSDT,JASMY/USDT,1637539200000,1637539200000,2021-11-22 12:00:00
OMGUSDT,OMG/USDT,1554076800000,1554249600000,2019-04-03 04:00:00
LSKUSDT,LSK/USDT,1580688000000,1580947200000,2020-02-06 10:00:00
HIVEUSDT,HIVE/USDT,1587945600000,1587945600000,2020-04-27 05:00:00
BTGUSDT,BTG/USDT,1618185600000,1618531200000,2021-04-16 07:00:00
CITYUSDT,CITY/USDT,1636329600000,1636502400000,2021-11-10 08:00:00
RENUSDT,REN/USDT,1569196800000,1569369600000,2019-09-25 12:00:00
XECUSDT,XEC/USDT,1630281600000,1630627200000,2021-09-03 10:00:00
IOTAUSDT,IOTA/USDT,1527465600000,1527724800000,2018-05-31 09:30:00
EGLDUSDT,EGLD/USDT,1598832000000,1599091200000,2020-09-03 03:00:00
GHSTUSDT,GHST/USDT,1629072000000,1629417600000,2021-08-20 10:00:00
STXUSDT,STX/USDT,1571616000000,1571961600000,2019-10-25 04:00:00
STORJUSDT,STORJ/USDT,1595808000000,1596067200000,2020-07-30 05:00:00
EOSUSDT,EOS/USDT,1527465600000,1527465600000,2018-05-28 05:00:00
XLMUSDT,XLM/USDT,1527465600000,1527724800000,2018-05-31 09:30:00
TRXUSDT,TRX/USDT,1528675200000,1528675200000,2018-06-11 11:30:00
ONTUSDT,ONT/USDT,1528070400000,1528416000000,2018-06-08 07:00:00
XMRUSDT,XMR/USDT,1552262400000,1552608000000,2019-03-15 04:00:00
CKBUSDT,CKB/USDT,1611532800000,1611619200000,2021-01-26 12:00:00
LAZIOUSDT,LAZIO/USDT,1634515200000,1634774400000,2021-10-21 12:00:00
COCOSUSDT,COCOS/USDT,1566172800000,1566345600000,2019-08-21 11:00:00
BARUSDT,BAR/USDT,1618790400000,1618963200000,2021-04-21 11:00:00
LOKAUSDT,LOKA/USDT,1642377600000,1642636800000,2022-01-20 12:00:00
ATMUSDT,ATM/USDT,1609113600000,1609286400000,2020-12-30 06:00:00
JUVUSDT,JUV/USDT,1608508800000,1608508800000,2020-12-21 06:00:00
ACMUSDT,ACM/USDT,1613952000000,1614124800000,2021-02-24 11:00:00
DARUSDT,DAR/USDT,1635724800000,1635984000000,2021-11-04 08:00:00
VOXELUSDT,VOXEL/USDT,1639353600000,1639440000000,2021-12-14 12:00:00
AVAXUSDT,AVAX/USDT,1600646400000,1600732800000,2020-09-22 06:30:00
HIGHUSDT,HIGH/USDT,1639353600000,1639699200000,2021-12-17 07:00:00
XRPUSDT,XRP/USDT,1525046400000,1525392000000,2018-05-04 08:11:00
GLMRUSDT,GLMR/USDT,1641772800000,1641859200000,2022-01-11 16:00:00
OGNUSDT,OGN/USDT,1578268800000,1578528000000,2020-01-09 03:00:00
KDAUSDT,KDA/USDT,1646611200000,1646956800000,2022-03-11 11:30:00
APEUSDT,APE/USDT,1647216000000,1647475200000,2022-03-17 14:30:00
BADGERUSDT,BADGER/USDT,1614556800000,1614643200000,2021-03-02 08:00:00
